SA1,Area,Green Area,%
,,,#DIV/0!
,,,#DIV/0!
2111913,0.375,0.169263062,45.14%
2112322,0.017,0.006597181,38.81%
2112624,1.383,0.52296174,37.81%
2112315,0.097,0.03562108,36.72%
2112309,0.039,0.014082832,36.11%
2111912,0.046,0.016375914,35.60%
2112321,0.026,0.009210505,35.43%
2111724,0.294,0.097361777,33.12%
2112112,0.043,0.013189028,30.67%
2112501,0.521,0.148705653,28.54%
2112325,0.074,0.020387727,27.55%
2112417,0.053,0.014298837,26.98%
2112410,0.064,0.017126564,26.76%
2112513,0.048,0.012616158,26.28%
2112403,1.945,0.495460973,25.47%
2111722,0.006,0.001482235,24.70%
2112319,0.058,0.014240651,24.55%
2112123,0.089,0.021848911,24.55%
2112407,0.553,0.132182833,23.90%
2112506,0.069,0.015772429,22.86%
2112113,0.093,0.021202924,22.80%
2111721,0.013,0.002927562,22.52%
2112326,0.042,0.009388755,22.35%
2112338,0.039,0.008618752,22.10%
2112508,0.143,0.031510444,22.04%
2111727,0.062,0.013608386,21.95%
2112307,0.042,0.008983858,21.39%
2112627,0.01,0.002100892,21.01%
2112305,0.036,0.007537246,20.94%
2112310,0.016,0.003186904,19.92%
2112402,0.066,0.013123309,19.88%
2111715,0.068,0.01342747,19.75%
2112337,0.051,0.01002767,19.66%
2112507,0.058,0.011320064,19.52%
2112323,0.036,0.007025307,19.51%
2111906,0.091,0.017633308,19.38%
2112124,0.058,0.011227439,19.36%
2112512,0.066,0.012725254,19.28%
2112510,0.069,0.01329706,19.27%
2111902,0.051,0.009727924,19.07%
2112406,0.053,0.010006267,18.88%
2112514,0.041,0.007698601,18.78%
2111723,0.012,0.002239339,18.66%
2111903,0.081,0.015061285,18.59%
2112335,0.094,0.017173094,18.27%
2111904,0.07,0.012629103,18.04%
2112109,0.082,0.014695775,17.92%
2111719,0.013,0.002319088,17.84%
2112106,0.133,0.023255721,17.49%
2112311,0.082,0.014317193,17.46%
2111701,0.108,0.01882529,17.43%
