SA1,Area,Green Area
2110501,0.042,0
2110502,0.127,0
2110503,0.064,0
2110504,0.061,0
2110505,0.07,0
2110506,0.082,0
2110507,0.099,0
2110508,0.064,0
2110509,0.095,0
2110510,0.092,0
2110512,0.067,0
2110514,0.079,0
2110515,0.074,0
2110516,0.069,0
2110517,0.081,0
2110518,0.074,0
2110519,0.088,0
2110520,0.095,0
2110521,0.097,0
2110522,0.114,2.863e-07
2110523,0.236,0
2110524,0.088,0
2110525,0.06,0
2110526,0.088,0
2110527,0.054,0
2110528,0.076,0
2110529,0.214,0
2110530,0.093,0
2110531,0.14,0
2110532,0.046,0
2110533,0.092,0
2110534,0.105,0
2110535,0.085,0
2110536,0.061,0
2110537,0.082,0
2110538,0.091,8.39075e-05
2110539,0.06,5.89096e-05
2110540,0.102,0
2110541,0.097,0
2110542,0.098,0
2110543,0.091,0
2110545,0.277,0
2110546,0.312,0
2110547,0.044,0
2110548,0.059,0
2110549,0.074,0
2110550,0.053,0
2110551,0.035,0
2110552,0.106,0
2110553,0.068,0
2110554,0.123,0
2110555,0.057,0
2110556,0.079,0
2110557,0.15,0
2110558,0.085,0
2110559,0.046,0
2110601,0.184,0
2110602,0.161,0
2110603,0.122,0
2110604,0.113,0
2110605,0.069,0
2110606,0.051,0
2110607,0.104,0
2110608,0.268,0
2110609,0.141,0
2110610,0.047,0
2110611,0.077,0
2110612,0.09,0
2110613,0.089,0
2110614,0.11,0
2110615,0.171,0
2110616,0.11,0
2110617,0.166,0
2110618,0.082,0
2110619,0.061,0
2110701,0.1,0
2110702,0.097,0
2110703,0.109,0
2110704,0.106,0
2110705,0.107,0
2110706,0.158,0
2110707,0.124,0
2110708,0.068,0
2110709,0.083,0
2110710,0.046,0
2110711,0.088,0
2110712,0.1,0
2110713,0.113,0
2110714,0.11,0
2110715,0.134,0
2110716,0.11,0
2110717,0.094,0
2110718,0.075,0
2110719,0.151,0
2110720,0.073,0
2110721,0.066,0
2110722,0.129,3.08814e-05
2110723,0.075,0
2110724,0.083,0
2110725,0.2,0
2110726,0.106,0
2110727,0.158,0
2110728,0.118,0
2110729,0.08,0
2110730,0.034,0
2110731,0.157,0
2110801,0.111,0
2110802,0.08,0
2110803,0.144,0
2110804,0.092,0
2110805,0.149,0
2110806,0.121,0
2110807,0.141,0
2110808,0.166,0
2110809,0.141,0
2110810,0.104,0
2110811,0.091,0
2110812,0.073,0
2110813,0.079,0
2110814,0.096,0
2110815,0.244,0
2110816,0.091,0
2110817,0.07,0
2110818,0.087,0
2110819,0.147,0
2110820,0.24,0
2110821,0.109,0
2110822,0.144,0
2110823,0.32,0
2110824,0.17,0
2110825,0.169,0
2110826,0.094,0
2110827,0.085,0
2110828,0.092,0
2110829,0.121,0
2110830,0.079,0
2110831,0.128,0
2110832,0.155,0
2110833,0.12,0
2110834,0.087,0
2110835,0.087,0
2110836,0.081,0
2110837,0.082,0
2110838,0.16,0
2110839,0.072,0
2110840,0.073,0
2110841,0.115,0
2110842,0.237,0
2110843,0.098,0
2110844,0.099,0
2110845,0.064,0
2110846,0.119,0
2110847,0.082,0
2110848,0.13,0
2110849,0.095,0
2110850,0.093,0
2110851,0.079,0
2110852,0.05,0
2110853,0.252,0
2110854,0.084,0
2110855,0.089,0
2110856,0.044,0
2110857,0.061,0
2110858,0.092,0
2110859,0.064,0
2110860,0.245,0
2110901,0.158,0
2110902,0.103,0
2110903,0.112,0
2110904,0.114,0
2110905,0.081,0
2110906,0.119,0
2110907,0.157,0
2110908,0.076,0
2110909,0.109,0
2110910,0.104,0
2110911,0.119,0
2110912,0.115,0
2110913,0.121,0
2110914,0.116,0
2110915,0.103,0
2110916,0.147,0
2110917,0.138,0
2110918,0.159,0
2110919,0.094,0
2110920,0.116,0
2110921,0.125,0
2110922,0.154,0
2110923,0.289,0
2110924,0.129,0
2111001,0.142,0
2111002,0.157,0
2111003,0.137,0
2111004,0.066,0
2111005,0.056,0
2111006,0.135,0
2111007,0.107,0
2111008,0.132,0
2111009,0.228,0
2111010,0.182,0
2111011,0.127,0
2111012,0.18,0
2111013,0.108,0
2111014,0.128,0
2111015,0.201,0
2111016,0.121,0
2111017,0.084,0
2111018,0.079,0
2111019,0.118,0
2111020,0.202,0
2111021,0.176,0
2111022,0.083,0
2111101,0.063,0
2111102,0.099,0
2111103,0.316,0
2111104,0.136,0
2111105,0.12,0
2111106,0.085,0
2111107,0.129,0
2111108,0.112,0
2111109,0.061,0
2111110,0.113,0
2111111,0.07,0
2111112,0.119,0
2111113,0.127,0
2111114,0.125,0
2111115,0.132,0
2111116,0.054,0
2111117,0.221,0
2111118,0.133,0
2111119,0.083,0
2111120,0.058,0
2111121,0.072,0
2111122,0.069,0
2111123,0.187,0
2111124,0.125,0
2111125,0.095,0
2111126,0.125,0
2111127,0.091,0
2111128,0.129,0
2111129,0.124,0
2111130,0.128,0
2111131,0.1,0
2111132,0.117,0
2111133,0.121,0
2111134,0.088,0
2111135,0.073,0
2111136,0.247,0
2111137,0.163,0
2111138,0.117,0
2111139,0.115,0
2111140,0.123,0
2111141,0.08,0
2111142,0.073,0
2111143,0.13,0
2111144,0.081,0
2111145,0.112,0
2111146,0.102,0
2111147,0.084,0
2111148,0.186,0
2111149,0.08,0
2111150,0.088,0
2111151,0.125,0
2111152,0.075,0
2111153,0.302,0
2111201,0.256,0
2111202,0.142,0
2111203,0.119,0
2111204,0.093,0
2111205,0.119,0
2111206,0.078,0
2111207,0.112,0
2111208,0.075,0
2111209,0.088,0
2111210,0.168,0
2111211,0.083,0
2111212,0.1,0
2111213,0.086,0
2111214,0.104,0
2111215,0.099,0
2111216,0.106,0
2111217,0.082,0
2111218,0.07,0
2111219,0.12,0
2111220,0.142,0
2111221,0.226,0
2111222,0.106,0
2111223,0.095,0
2111224,0.367,0
2111225,0.205,0
2111226,0.092,0
2111227,0.093,0
2111228,0.111,0
2111229,0.12,0
2111230,0.101,0
2111231,0.052,0
2111232,0.092,0
2111233,0.095,0
2111234,0.177,0
2111235,0.11,0
2111236,0.076,0
2111237,0.083,0
2111238,0.115,0
2111239,0.102,0
2111240,0.334,0
2111241,0.068,0
2111242,0.048,0
2111301,0.493,0
2111302,0.078,0
2111303,0.16,0
2111304,0.216,0
2111305,0.247,0
2111306,0.195,0
2111307,0.333,0
2111308,0.08,0
2111309,0.086,0
2111310,0.08,0
2111311,0.11,0
2111312,0.086,0
2111313,0.109,0
2111314,0.106,0
2111315,0.069,0
2111316,0.068,0
2111317,0.069,0
2111318,0.051,0
2111319,0.076,0
2111320,0.084,0
2111321,0.06,0
2111322,0.096,0
2111323,0.098,0
2111324,0.135,0
2111325,0.097,0
2111326,0.096,0
2111327,0.121,0
2111328,0.131,0
2111329,0.108,0
2111330,0.055,0
2111331,0.076,0
2111332,0.057,0
2111401,0.073,0
2111402,0.205,0
2111403,0.107,0
2111404,0.131,0
2111405,0.116,0
2111406,0.18,0
2111407,0.16,0
2111408,0.259,0
2111409,0.15,0
2111410,0.173,0
2111411,0.106,0
2111412,0.213,0
2111413,0.202,0
2111414,0.187,0
2111415,0.346,0
2111416,0.093,0
2111417,0.109,0
2111418,0.155,0
2111419,0.108,0
2111420,0.155,0
2111421,0.154,0
2111422,0.094,0
2111423,0.1,0
2111424,0.086,0
2111425,0.172,0
2111426,0.138,0
2111427,0.181,0
2111428,0.129,0
2111429,0.088,0
2111430,0.13,0
2111431,0.147,0
2111432,0.128,0
2111433,0.188,0
2111434,0.126,0
2111435,0.183,0
2111436,0.094,0
2111437,0.145,0
2111438,0.163,0
2111439,0.12,0
2111440,0.102,0
2111441,0.124,0
2111442,0.145,0
2111443,0.205,0
2111444,0.214,0
2111445,0.095,0
2111446,0.103,0
2111447,0.129,0
2111448,0.101,0
2111449,0.201,0
2111450,0.086,0
2111451,0.108,0
2111452,0.138,0
2111453,0.159,0
2111454,0.132,0
2111455,0.058,0
2111456,0.071,0
2111457,0.144,0
2111458,0.092,0
2111459,0.2,0
2111460,0.111,0
2111461,0.121,0
2111501,0.07,0
2111502,0.064,0
2111503,0.073,0
2111504,0.066,0
2111505,0.088,0
2111506,0.014,0
2111507,0.019,0
2111508,0.104,0
2111509,0.046,0
